timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754508793803,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508793862,74,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,32,0,0
1754508793936,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508794001,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508794058,66,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,25,0,0
1754508794124,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508794185,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508794245,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508794301,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508794361,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508794420,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508794476,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508794541,63,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508794604,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508794662,67,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508794729,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508794790,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508794849,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508794907,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508794969,73,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,32,0,0
1754508795042,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508795104,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508795161,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508795220,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508795277,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508795335,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
